6218;Veselí nad Moravou;CZ0645;Hodonín;
4210;Podbořany;CZ0424;Louny;
7201;Bystřice pod Hostýnem;CZ0721;Kroměříž;
6101;Bystřice nad Pernštejnem;CZ0635;Žďár nad Sázavou;
3204;Horšovský Týn;CZ0321;Domažlice;
3201;Blovice;CZ0324;Plzeň-jih;
4207;Louny;CZ0424;Louny;
6221;Židlochovice;CZ0643;Brno-venkov;
7111;Šumperk;CZ0715;Šumperk;
2118;Nymburk;CZ0208;Nymburk;
6108;Nové Město na Moravě;CZ0635;Žďár nad Sázavou;
8110;Jablunkov;CZ0802;Frýdek-Místek;
6205;Bučovice;CZ0646;Vyškov;
6115;Žďár nad Sázavou;CZ0635;Žďár nad Sázavou;
6219;Vyškov;CZ0646;Vyškov;
3103;Český Krumlov;CZ0312;Český Krumlov;
3116;Vimperk;CZ0315;Prachatice;
8102;Bohumín;CZ0803;Karviná;
7113;Zábřeh;CZ0715;Šumperk;
5211;Nové Město nad Metují;CZ0523;Náchod;
6112;Telč;CZ0632;Jihlava;
7103;Konice;CZ0713;Prostějov;
7213;Zlín;CZ0724;Zlín;
7104;Lipník nad Bečvou;CZ0714;Přerov;
8114;Krnov;CZ0801;Bruntál;
4205;Litoměřice;CZ0423;Litoměřice;
6212;Moravský Krumlov;CZ0647;Znojmo;
2105;Černošice;CZ020A;Praha-západ;
8113;Kravaře;CZ0805;Opava;
6207;Hustopeče;CZ0644;Břeclav;
3210;Přeštice;CZ0324;Plzeň-jih;
3215;Tachov;CZ0327;Tachov;
8105;Frenštát pod Radhoštěm;CZ0804;Nový Jičín;
3110;Soběslav;CZ0317;Tábor;
2107;Dobříš;CZ020B;Příbram;
5310;Polička;CZ0533;Svitavy;
3113;Trhové Sviny;CZ0311;České Budějovice;
7202;Holešov;CZ0721;Kroměříž;
4213;Teplice;CZ0426;Teplice;
6215;Slavkov u Brna;CZ0646;Vyškov;
4206;Litvínov;CZ0425;Most;
5313;Ústí nad Orlicí;CZ0534;Ústí nad Orlicí;
6213;Pohořelice;CZ0643;Brno-venkov;
8117;Opava;CZ0805;Opava;
7210;Valašské Meziříčí;CZ0723;Vsetín;
7211;Vizovice;CZ0724;Zlín;
6109;Pacov;CZ0633;Pelhřimov;
5311;Přelouč;CZ0532;Pardubice;
6203;Brno;CZ0642;Brno-město;
7209;Valašské Klobouky;CZ0724;Zlín;
6204;Břeclav;CZ0644;Břeclav;
6107;Náměšť nad Oslavou;CZ0634;Třebíč;
8122;Vítkov;CZ0805;Opava;
4107;Sokolov;CZ0413;Sokolov;
3203;Horažďovice;CZ0322;Klatovy;
2106;Český Brod;CZ0204;Kolín;
8120;Rýmařov;CZ0801;Bruntál;
2113;Lysá nad Labem;CZ0208;Nymburk;
4104;Kraslice;CZ0413;Sokolov;
3214;Sušice;CZ0322;Klatovy;
6103;Humpolec;CZ0633;Pelhřimov;
3212;Stod;CZ0324;Plzeň-jih;
2114;Mělník;CZ0206;Mělník;
5315;Žamberk;CZ0534;Ústí nad Orlicí;
8121;Třinec;CZ0802;Frýdek-Místek;
7212;Vsetín;CZ0723;Vsetín;
5303;Holice;CZ0532;Pardubice;
3111;Strakonice;CZ0316;Strakonice;
3114;Třeboň;CZ0313;Jindřichův Hradec;
5106;Nový Bor;CZ0511;Česká Lípa;
2117;Neratovice;CZ0206;Mělník;
8119;Ostrava;CZ0806;Ostrava-město;
6209;Kuřim;CZ0643;Brno-venkov;
6206;Hodonín;CZ0645;Hodonín;
5215;Vrchlabí;CZ0525;Trutnov;
4208;Lovosice;CZ0423;Litoměřice;
5305;Králíky;CZ0534;Ústí nad Orlicí;
2126;Votice;CZ0201;Benešov;
5301;Česká Třebová;CZ0534;Ústí nad Orlicí;
8104;Český Těšín;CZ0803;Karviná;
3207;Nepomuk;CZ0324;Plzeň-jih;
5109;Turnov;CZ0513;Liberec;
5302;Hlinsko;CZ0531;Chrudim;
8111;Karviná;CZ0803;Karviná;
7112;Uničov;CZ0712;Olomouc;
2111;Kralupy nad Vltavou;CZ0206;Mělník;
5206;Jaroměř;CZ0523;Náchod;
7206;Rožnov pod Radhoštěm;CZ0723;Vsetín;
4215;Varnsdorf;CZ0421;Děčín;
4212;Rumburk;CZ0421;Děčín;
4214;Ústí nad Labem;CZ0427;Ústí nad Labem;
4102;Cheb;CZ0411;Cheb;
4204;Kadaň;CZ0422;Chomutov;
8118;Orlová;CZ0803;Karviná;
4105;Mariánské Lázně;CZ0411;Cheb;
5110;Železný Brod;CZ0512;Jablonec nad Nisou;
2123;Sedlčany;CZ020B;Příbram;
3209;Plzeň;CZ0323;Plzeň-město;
8116;Odry;CZ0804;Nový Jičín;
5109;Turnov;CZ0514;Semily;
5109;Turnov;CZ0512;Jablonec nad Nisou;
8112;Kopřivnice;CZ0804;Nový Jičín;
7106;Mohelnice;CZ0715;Šumperk;
5210;Nová Paka;CZ0522;Jičín;
